adr_usd,review_score,dist_center_mi,room_count,service_score,repeat_visit_intent,loyalty_index
148,7.99,8,438,32.9,24.27683723,0.159822528
127,7.43,8.5,475,41.2,23.91427207,0.055366931
262,9.37,0.2,343,63.1,42.58072581,51.21073846
185,8.16,5.9,277,53.2,23.91800489,1.162506203
192,7.76,4.3,376,34.1,26.92128173,1.641726783
192,8.48,0.2,256,43.3,18.98113965,1.721015646
167,7.77,6,324,44.7,26.1622735,0.501255999
248,9.59,0.2,398,43.1,26.56274129,25.62160504
199,8.77,7.9,479,60,34.62642916,2.272928664
123,6.44,12.9,286,59.2,36.91780402,0.032649993
227,8.43,5.4,328,53.6,30.56874445,9.205357963
142,7.72,11,415,48.7,34.5083623,0.15783674
174,8.78,0.5,278,54.3,37.603961,0.694768603
211,8.63,7.3,297,39.4,21.01043286,4.168507243
230,9.29,8,186,38.7,27.06077702,10.57010656
218,8.84,4.4,280,46.7,22.76414789,5.963087033
159,7.67,5.9,422,41.1,11.48718893,0.347555299
235,8.63,1.4,283,35.2,15.45265275,13.45398408
220,8.69,3.5,354,45.5,34.13148904,6.515922879
212,8.06,6.5,390,45.6,12.29456082,4.349187978
151,7.37,10.3,155,59.7,33.23460749,0.164319079
202,8.55,0.2,298,51.3,31.49515531,2.66318436
147,7.5,10.6,323,57.3,35.76631573,0.127531239
117,6.63,8.2,50,66.7,39.08335685,0.004451508
185,8.48,7.4,300,49.9,27.33312039,1.12772882
269,8.97,0.2,112,55.4,32.64762837,72.06142588
164,8.22,7.2,326,38.1,32.05550319,0.454502051
146,8.08,0.2,231,52,33.45253129,0.177917895
141,7.1,9.6,394,40.2,27.10159741,0.076227912
210,8.64,5.3,262,39.8,20.48963001,4.025880444
184,7.91,6.2,378,40.8,20.70873639,1.124683858
161,7.88,8.1,168,46.2,29.79271782,0.341259834
131,7.3,7.6,214,40.9,23.38831998,0.126171204
194,8.23,0.9,228,58.5,36.18715523,1.84819085
163,7.6,5.5,241,34.9,15.22631967,0.433890238
176,7.85,10.8,359,49.6,33.88139429,0.778902575
179,7.52,7.7,272,81.4,59.70070953,0.890522959
180,8.18,5.3,272,58.8,29.98805848,0.903226389
171,7.58,8.6,483,49.9,35.28945801,0.566877206
193,7.94,10.5,295,57,41.87107512,1.698672018
111,7.52,10.8,448,35.6,26.56922668,-0.004289429
133,7.88,3.9,234,33.6,25.89545954,0.079434156
128,7.25,12,250,31.7,30.42598103,0.00697718
272,9.17,1.4,359,50.7,38.11015084,83.72399785
232,8.56,1.9,244,49,36.19012355,11.75370237
125,7.71,4.5,387,56.1,31.32839396,0.004455583
