adr_usd,review_score,dist_center_mi,room_count,service_score,repeat_visit_intent
148,7.99,8,438,32.9,104.62904870689556
127,7.43,8.5,475,41.2,119.08964502103343
262,9.37,0.2,343,63.1,176.16741662829827
185,8.16,5.9,277,53.2,147.34101678284915
192,7.76,4.3,376,34.1,107.25857547032189
192,8.48,0.2,256,43.3,132.43012997376655
167,7.77,6,324,44.7,129.1718324119784
248,9.59,0.2,398,43.1,131.61987753078694
199,8.77,7.9,479,60,162.47629429621296
123,6.44,12.9,286,59.2,149.7086760598001
227,8.43,5.4,328,53.6,151.79816359487893
142,7.72,11,415,48.7,136.71962765411473
174,8.78,0.5,278,54.3,153.3015429011881
211,8.63,7.3,297,39.4,122.17136543189024
230,9.29,8,186,38.7,122.73831773049184
218,8.84,4.4,280,46.7,141.17382627360618
159,7.67,5.9,422,41.1,121.54570095645848
235,8.63,1.4,283,35.2,109.61676568674072
220,8.69,3.5,354,45.5,135.85271180312736
212,8.06,6.5,390,45.6,130.55441718454412
151,7.37,10.3,155,59.7,154.11435258802632
202,8.55,0.2,298,51.3,144.9140501706834
147,7.5,10.6,323,57.3,150.04799110338553
117,6.63,8.2,50,66.7,165.09221754141774
185,8.48,7.4,300,49.9,140.94992146430147
269,8.97,0.2,112,55.4,152.27661337851518
164,8.22,7.2,326,38.1,118.97557408898906
146,8.08,0.2,231,52,144.70674623567302
141,7.1,9.6,394,40.2,113.6237261259761
210,8.64,5.3,262,39.8,125.30762984213985
184,7.91,6.2,378,40.8,122.00292844295362
161,7.88,8.1,168,46.2,131.20985703401547
131,7.3,7.6,214,40.9,120.09025132209004
194,8.23,0.9,228,58.5,159.9062669750661
163,7.6,5.5,241,34.9,109.44316216327498
176,7.85,10.8,359,49.6,139.82728050820018
179,7.52,7.7,272,81.4,201.5078353070752
180,8.18,5.3,272,58.8,158.37617657884655
171,7.58,8.6,483,49.9,137.08807467252015
193,7.94,10.5,295,57,152.93905799797523
111,7.52,10.8,448,35.6,107.41058604215895
133,7.88,3.9,234,33.6,106.1841654439608
128,7.25,12,250,31.7,97.11920729686348
272,9.17,1.4,359,50.7,151.58791193067702
232,8.56,1.9,244,49,143.21592399661
125,7.71,4.5,387,56.1,148.5037828335933
252,9.11,0.8,289,41.8,128.34423032940182
148,7.6,7.1,255,44.6,126.26668929275355
65,6.35,18,386,31.1,95.50993023667264
166,8.77,7.6,380,40.2,124.08326186705634
174,7.97,2.8,342,35.3,110.9566370279895
258,9.37,0.2,309,51.4,149.59290648930258
212,7.87,3.3,290,42.9,125.06425908541738
187,7.37,7.7,441,54.3,148.1872045680289
184,8.65,5.8,301,48.9,140.59845802868148
168,7.91,7.5,228,60.7,163.98294120885907
239,9.03,0.2,289,43.4,128.85249439153955
168,7.88,10.4,146,42.1,124.76922749927212
200,8.19,6.1,477,45.2,131.59770848768923
228,8.38,0.2,282,37.3,116.93188313748794
216,8.19,4.3,242,45.7,133.10927896551976
180,7.9,6.9,367,52.9,144.29535309378142
233,8.94,5.3,275,36.5,117.03358523266115
207,8.58,6.1,405,51.6,144.0628492337858
265,8.47,2.4,415,43.5,127.20641754704884
109,7.53,12.9,448,52.3,142.8570572828085
240,9.08,2.3,379,49.9,146.09641955725886
157,7.78,7.5,234,40.3,119.606008453461
178,7.72,3.6,316,63.4,167.24453493575948
203,8.94,2.1,290,61.4,171.60016937125428
159,8.28,7.7,264,46.6,133.6179376678869
194,8.74,11.5,250,41.2,121.48166224871838
240,9.21,1.1,318,38.2,124.46147704892454
204,8.37,2.8,230,40.3,121.0315984748352
245,9.5,6,185,45.3,136.72398276706528
186,7.83,8.6,377,54.2,149.6011427393934
161,8.22,7.7,227,40.3,121.13045398589796
136,8.09,7.2,228,38.7,115.40856457549094
188,7.82,5.8,301,57.6,154.6626069594983
136,7.51,2.9,348,52.8,142.8722172751219
180,8.72,0.2,276,49.8,143.21152837179977
181,8.65,3.3,438,47.1,138.22056080225266
167,7.57,7.1,274,31.8,100.70867993641518
163,7.88,9.9,165,47.5,135.68875309703768
162,8.43,6.1,294,35.6,112.90902687636247
60,7.01,10.9,434,38.2,112.1135639278314
139,6.97,14,324,47.8,132.6436780262987
220,9.29,2.2,339,46,139.3203629816676
148,6.95,11.6,286,47.8,129.69813682893755
176,8.1,4.2,411,33.2,109.1976152369022
197,9,4.1,283,45.5,137.98700771192424
189,8.29,4.5,315,56.1,154.74679391901614
123,7.45,5.3,201,33.5,104.72746347022289
120,7.58,7.4,252,51.1,138.84418784792126
157,8.12,4.5,241,55,153.32130489706
180,8.51,4.6,451,41.3,123.94948082570572
264,9.12,3.5,423,74.4,198.77466598603317
146,7.54,8.6,312,38.4,117.56522125237038
183,7.89,4.7,100,57.1,153.17859928179905
207,8.38,4.8,248,31.2,102.24715819938643
208,7.92,7.6,345,63.1,164.37918687260142
208,8.92,1.1,243,60,165.11376741831305
258,8.94,0.2,219,40,124.20661624307525
123,7.03,8.8,237,49.2,132.85491480120456
94,7.06,7.1,145,73.6,180.59676286546997
191,8.26,6.8,494,42.1,125.40994455038216
121,6.95,9.5,292,44.3,121.78019106108584
233,8.08,4.4,339,40.1,117.26411612682372
88,7.34,7.2,317,46.4,128.73954695942447
164,7.71,7.5,315,54.4,149.18799321812153
180,8.05,1.8,372,44.4,127.89930607478324
183,8.14,1.8,308,65.2,172.31592864445008
213,7.91,9,432,44.4,125.11423458342166
250,8.9,3.3,301,41.2,126.78887606895093
176,8.08,7.3,344,41.9,125.2388144078869
233,9.43,6.1,492,50.2,148.15230672433344
201,8.24,9,380,60.1,161.6113523882979
156,7.38,4.5,474,34.3,104.21858798338924
221,8.5,0.2,337,45.6,132.00059130793284
166,8.17,7,191,35.8,110.40174241879016
235,8.23,1.6,321,36.2,113.78529319420026
168,7.97,5.4,202,53.2,144.3550507716304
112,6.93,12.4,250,49.6,132.86888511259866
163,7.6,7.1,278,62.9,163.2878156156035
241,9.65,2.3,202,34.5,120.93772401046442
218,8.02,9.5,265,71.2,181.19610019660908
223,8.7,1.6,305,65.8,175.5707731445697
142,7.52,9.4,158,67,171.7559216991274
252,8.62,3.2,295,39.2,119.57628673173974
183,8.33,2.7,265,60.5,162.50738382775282
188,8.5,8.3,477,71.1,187.5891017168467
106,6.67,10.7,315,35.4,105.05300810615844
275,9.29,0.2,212,31.2,108.93246584398588
151,7.68,7.6,144,52,141.55500633532077
223,8.44,4,468,45.3,128.69350555691895
229,8.47,6,272,39.9,124.41267442682836
217,8.66,2.3,286,46.1,132.57871985815035
234,8.45,4.9,232,34.5,112.72989502175469
239,8.74,1.9,281,42.5,132.51820713843497
128,7.78,8.1,296,33,102.0122136780564
219,8.43,5.5,50,52.4,148.3535686707494
131,7.42,7.4,296,36.3,109.17560502119504
137,7.2,7.2,281,56,144.855711681709
247,8.93,0.3,222,49.2,140.0206646924365
221,8.34,4.6,250,57.9,154.29692765285083
153,7.8,10,387,38.4,114.7381869556594
269,8.16,2.8,433,38.7,115.2764888300082
176,7.44,8.6,283,43.2,124.97583354595166
95,6.9,12.7,392,37.9,114.50021788105134
146,7.41,9.9,429,47.6,129.67593904792963
233,8.71,1.1,213,59.2,163.52547769495038
189,8.37,3.8,99,43.6,130.58808448200182
208,8.56,7.5,279,40.2,123.86440515790024
229,8.68,2.9,298,31.5,104.38324678344598
218,8.4,1.6,316,32.4,106.56109478673868
269,9.13,4.1,280,51.1,147.28920932965954
150,7.5,8,328,47.4,133.42597906644096
168,8.05,7.9,199,43.6,126.70512248779237
151,7.49,8.5,370,44.4,128.20394677337123
163,8.16,5.3,400,44.1,128.25083828446597
170,7.96,8.3,174,47.5,136.90542293115868
171,8.3,5.4,276,44.9,129.20164598666787
147,7.43,9.5,328,45.6,125.82968951048376
161,7.71,11.3,435,49.7,144.4320798698848
206,8.09,10,320,51.1,141.81628482367915
194,8.16,1.4,108,43.5,128.39645518308143
235,9.49,4.5,237,62.3,173.3231393480677
200,8.09,8.8,318,69.9,179.2824387485825
257,8.84,2.4,263,51.7,148.63372408862725
225,8.62,9.5,434,43.9,131.63792905477015
250,8.93,4.4,322,45.8,135.8192389847166
111,6.57,12.3,289,57.3,147.58058606705063
197,8.97,3.4,518,59.4,163.58186549252306
168,7.89,6.5,219,50,143.70690379803236
156,7.93,7.6,378,46.5,131.16732780745434
225,8.34,4.5,448,41.6,122.70800746585068
182,7.84,5.1,109,36.8,112.87557679834217
184,8.48,6.6,225,66.4,175.82096149888628
125,6.95,8.7,355,48.8,133.22304695782037
285,8.69,4.1,559,58.8,160.13326933457776
189,8.46,7.5,406,42,124.17334773205764
226,8.6,3.8,183,42.1,129.72637035217898
266,9.11,0.2,257,36.5,117.85069922409288
212,8.46,8,452,42.2,124.96897427469328
174,8.3,4.7,294,41.4,123.8274408621178
181,8.07,9.1,240,40.8,121.55564821130288
219,8.47,0.2,275,33.4,111.36984057942728
198,8.31,3.1,214,40,121.7194745843944
205,8.44,2.5,175,51.4,146.50810757036905
128,7.56,9.7,175,43.7,124.20141596565549
182,8.09,4.8,542,38.3,117.4788906191632
205,7.97,0.2,209,46,131.20062817701833
210,8.65,1.6,347,49.1,141.63916705634713
230,9.08,2,221,47.6,138.8092732840449
169,7.93,4.6,379,43.5,124.02839693334406
172,7.63,8.8,235,33.5,109.14442676949594
138,7.59,6.4,260,44.3,127.75141764734484
155,7.81,5.6,316,34.9,106.3474572767501
136,7.13,7.8,213,46,126.42766816663917
206,8.3,7.5,308,31,101.12903983080538
226,8.7,5.9,290,36.1,120.09762069776744
173,7.82,4.3,327,34.1,109.92482595286704
206,8.59,4.1,392,44,130.41970988660728
133,7.78,9.2,286,36.4,112.78638811846416
85,6.9,16.3,288,36.9,107.47132010416227
241,9.19,2,363,31.9,108.79750621076884
207,8.45,1.5,262,30,100.67279432429952
162,7.28,6,390,44.2,123.610765465081
214,9.03,8.5,360,42.6,133.65181493467338
184,8.36,5,325,55.1,151.89194374982912
201,8.4,5.5,210,49.8,141.83849047285517
158,8.37,5.6,291,43,128.33737485919818
266,9.15,1.4,257,52.1,152.41495175697065
163,7.43,6,376,38.9,113.91787233811044
258,9.19,6.5,506,40,123.96498569921592
194,8.16,3.9,349,48.7,141.55139386480636
157,7.78,11.1,365,43.2,124.41767356618944
137,7.89,7.9,234,49.2,136.40386806012026
102,6.53,14.1,376,35.4,100.9774537622334
242,9.02,0.2,344,38,118.5305685553644
167,8.32,3.4,456,64,168.452053041404
154,7.96,6.7,430,46.2,133.43597163433304
246,8.58,2.9,197,40.4,125.91969627785944
174,8.17,4.6,527,57.3,156.86517670767117
253,8.95,0.2,267,46.7,137.4226854058095
229,9.01,5.6,440,40.8,126.7694998747692
248,9.26,4.3,268,46.7,138.29080707263984
90,6.9,11.1,337,50.1,133.26556367685197
130,7.7,5.7,215,44.6,129.46930099795384
183,7.93,3.1,326,45.6,128.8188148427929
253,8.67,0.2,191,37.3,121.86058793098492
176,7.96,7.8,334,45.5,130.61936081206832
144,7.88,9.7,170,44.5,128.82907765325845
179,7.76,4.3,221,59.2,155.72294459052085
161,8.18,8.9,337,51.5,142.75122262047347
153,7.58,8.8,292,58,151.26596773538952
137,7.52,10.6,227,52.3,141.83414922325454
206,8.37,5.3,386,32.7,108.08796480984893
290,9.01,6.1,285,43.2,132.09860868832274
239,8.9,2.8,340,44.3,131.5369270258905
212,8.69,0.2,321,44,129.872756058292
148,8.31,5.8,114,54.7,149.94560256331428
177,7.58,4.4,293,51.2,143.2921213396927
172,8.19,5.7,318,47,132.6753927586685
147,8.01,8,346,44.2,128.0918968112396
276,9,3.7,488,58.6,166.00472364335783
192,8.87,5.6,273,59.6,163.3480502293424
166,7.49,8.3,380,41.8,118.33031859235722
227,8.1,4,193,38.3,115.77046112945187
139,7.96,5.1,339,54,148.77091995780978
123,6.95,9.7,245,49.6,133.19879425666045
193,8.01,8.9,418,32.3,103.52624727290042
203,7.62,6.6,258,43.7,124.81216553174308
174,8.27,3.8,296,37.9,117.33099329427844
175,8.1,5.3,339,51.8,147.29701754229166
203,8.44,3.7,224,46.6,135.22286977572224
217,8.22,4,457,62.3,167.86159899230302
144,7.66,10.1,126,43.7,126.96150823130114
142,7.59,9.9,299,62.8,163.32272020898773
179,8.18,2.8,357,34.1,106.0341959942188
197,8.61,4.4,230,40.9,123.80776536489496
171,7.79,3.7,282,49.3,136.57025909372305
204,7.9,2.6,381,34.1,107.79430886552306
143,7.55,5,359,44.7,129.75039735533366
151,7.31,7.9,210,48.1,137.3361579476622
199,8.38,2.5,223,53.8,152.59516211796753
173,8.44,10.7,275,53.7,149.3336980713421
173,8.57,4.4,233,53.8,146.9369452088847
252,9.51,1.9,278,37.7,122.17244027185652
129,7.51,10.1,340,63.7,165.12841444614656
294,9.6,0.2,423,68.8,187.29002600813487
204,8.54,5.5,143,65,174.62505593696852
218,8.78,0.2,242,54.1,153.4686188588329
158,7.97,6.2,250,43.7,124.45945130040108
180,8.61,6.1,276,47.2,139.1492860912667
256,8.71,2.3,228,38.4,119.45688556714556
210,8.87,2.7,270,32.3,109.2996054003225
150,7.86,1.6,292,42.3,124.04910235434748
184,8.11,6.5,278,51.6,144.606333529941
153,8.23,5.4,326,39,119.19934996565227
177,8.78,2.8,145,39.7,119.96504980482868
244,8.93,5.9,350,39.5,125.12299192954688
192,8.55,5.6,316,41.8,127.12205313669936
146,6.97,6.2,149,52,138.31869674944355
122,7.41,8,227,51.9,141.08628902209335
107,7.05,7.8,139,41.3,118.11807729073692
175,7.54,8.1,188,49.5,137.14203893712198
147,7.66,7.4,202,45.1,131.78169233195501
231,8.18,2,271,53.3,147.06189924213305
176,8.55,3.5,205,37.3,117.68613076776931
210,8.58,5.6,346,35.8,116.83676774613818
195,8.49,3,156,32.7,109.95836204675383
202,8.58,4.4,325,40.6,126.3905262207607
249,8.76,1.1,217,62,166.6450639978809
236,8.75,4.4,518,62.5,172.75496546058565
203,8.45,5.2,392,58.7,159.78340174186036
101,6.98,12.1,270,48.5,135.63370368941372
208,8.26,6.7,281,41.6,121.79819462793856
124,7.82,7.1,193,52.4,143.94196717270847
156,7.87,7.3,405,43.4,128.64982914193843
