segment,region,adr,occupancy,satisfaction,service_quality,cleanliness,value_for_money,likelihood_to_return
Upscale,Suburban,154.1493314046841,82.4278043393523,3,4,5,3,2
Upscale,Resort,202.90066032402683,87.03727003573356,3,4,4,4,5
Upscale,Suburban,153.4210428969751,66.0106907531677,4,5,4,2,3
Midscale,Resort,161.40010759395545,95.0971856830837,4,5,4,2,4
Upscale,Suburban,102.03345275833021,68.14470619537121,3,4,3,2,4
Midscale,Urban,157.0824283004444,72.67771093871846,5,3,4,3,5
Midscale,Urban,158.0307974677902,81.43693965160182,5,3,5,3,4
Midscale,Urban,155.7311297702717,77.26066336765103,4,3,2,2,4
Upscale,Suburban,149.72185949558647,92.81971519683373,3,3,4,1,3
Budget,Resort,122.48271067202167,67.55064137046834,4,4,3,4,3
Luxury,Resort,244.12718320888763,74.38751744746851,5,4,5,5,4
Midscale,Resort,168.9945088567616,79.39243227722727,5,4,4,2,3
Midscale,Suburban,89.57361607363028,79.21881542602911,3,4,3,3,2
Budget,Suburban,102.92232312146552,100,3,4,3,3,3
Midscale,Urban,116.85441080022999,61.67390962315342,4,4,3,3,4
Upscale,Suburban,108.52286542661344,85.50840149876994,3,3,5,3,4
Luxury,Resort,284.3164795990743,90.26845193354814,5,5,4,1,5
Budget,Urban,59.23609668385366,83.39678249837675,4,2,2,1,4
Upscale,Suburban,136.8038345222674,62.78169177146355,2,4,4,4,2
Upscale,Resort,230.10080725356286,82.84296438142164,4,3,4,2,5
Budget,Urban,146.8082937159826,70.91442880402538,3,2,4,3,4
Luxury,Resort,273.43304774962894,63.4058562440409,4,5,4,1,5
Budget,Resort,144.29128244201448,66.74949677204687,3,4,4,3,4
Budget,Resort,85.5659034577009,62.98280848695592,2,3,3,3,3
Budget,Urban,143.26253285709663,92.10764933553531,4,3,2,3,4
Upscale,Urban,189.87282046362165,70.51754433301899,5,5,4,2,5
Luxury,Resort,260.50299391451256,89.39987786184105,4,5,3,1,5
Midscale,Suburban,119.93859803539078,80.85679569656125,4,5,3,3,3
Upscale,Resort,189.76877658232144,69.64358758382723,4,4,4,2,5
Midscale,Urban,141.25807575621613,81.03204277140398,3,3,2,2,4
Budget,Urban,102.54430104304535,79.6655067840629,3,5,4,3,4
Midscale,Urban,169.22808865158083,65.24382935579474,3,4,4,3,5
Upscale,Urban,175.83522265257398,84.28461545299413,3,4,4,2,5
Luxury,Urban,250.61649279191099,79.97026463317796,3,4,5,2,4
Midscale,Resort,163.0998384749027,74.12969414489008,5,4,4,3,5
Budget,Resort,142.43436194333313,66.84415921116239,3,3,3,3,5
Upscale,Resort,257.38992482933537,78.55498656021827,4,4,5,2,5
Upscale,Resort,249.55466139176124,69.13367089913687,5,5,5,1,4
Budget,Suburban,94.00638384457936,73.52036059312401,5,4,2,3,2
